,l_1,l_2,l_3,l_4,l_5,l_6,p_1,p_2,p_3,p_4,p_5,p_6,brows_class
93,138.19189577590794,145.90165591999522,149.92236571225504,151.93647112841316,144.62336551148172,151.76130860348607,146.80031033264967,141.05419189411484,132.51044707800085,148.45584297892373,139.3852651067051,146.76478503161448,high_arch
94,131.40308998292798,139.88049503780533,145.5967033026814,147.82539241668914,138.72090002883445,146.06911100104696,143.28768620720896,137.68615431669926,131.75321222386356,149.97683593954207,139.40570160375657,143.93931096831332,high_arch
95,123.57024383274192,135.48185142307,142.524202965804,140.71059313749967,131.122760112681,141.8936791369542,142.8075054007154,135.05166434985057,127.25929844614815,146.6818357089764,135.19708544213654,141.02211561966433,high_arch
96,145.99612803492383,152.84372022939058,155.89776549883888,156.26225029614412,150.79084118654828,157.3412326078226,154.23192060440036,148.34531935962113,139.63004641079766,151.79110705493832,144.78766072978016,152.33939390351716,high_arch
97,144.85436625587198,149.26637335127626,153.57263562598368,158.15476407177778,150.5332878653413,153.79815016719718,146.56446558195668,138.29484097634037,127.07926009835894,143.3438915840331,133.59197844946394,143.26717333551065,high_arch
98,136.7645247970968,143.70817916833977,147.0919154473208,151.4422139845718,143.79775783722295,150.36675442834897,146.30993247402023,136.82796824430503,123.1971911312376,139.23355429638343,129.57260530810535,141.27107744950115,high_arch
99,124.03470872944334,137.06647698564424,144.51439506428093,139.57392125990086,130.78146945837267,142.71189241265887,140.4888458828425,134.6585512441339,128.83502415899542,149.15486810073523,137.79695926822882,142.10777416479604,high_arch
100,134.07167740640713,137.95623536174625,140.52337379189672,153.555275799359,143.33620139154013,146.7204249562956,135.53462628279436,127.1320729133923,108.11970699977155,125.53767779197437,117.1717916679418,136.17513323723938,high_arch
101,147.5913107505754,150.0522058783478,154.95670100285176,161.71121356285747,153.1469638451112,154.0782804422667,152.0099745504066,147.17952244496476,138.99831719127593,152.57039000667848,145.0935213615226,152.58694583441098,high_arch
102,120.17893192908163,140.7171210831833,151.9074233807091,133.069412558833,125.05942696688697,144.38814609696175,148.385183087697,149.74091031548872,151.68217617184752,167.6030580638068,159.88327483154453,158.23231374666574,high_arch
103,133.70668948541663,144.64652174036414,152.0437533560224,146.22245806944485,138.66193557551983,148.11235171202347,153.71007650184328,145.28846948773975,133.9924931827009,146.55013137223352,138.53636927640258,148.03740219644413,high_arch
104,120.87792022248772,125.62597790240012,135.3757046446568,146.1038334366361,130.49988629157934,132.19101117096383,138.52373823167835,130.67869808269802,128.63643176435778,153.95111305268685,138.68623024278546,138.04437935680264,high_arch
105,139.37154666868398,147.27709805110803,149.3258967676054,152.31893843151474,146.01306580669552,154.15561244543966,146.19351515901283,140.34205463251067,130.39282667395614,145.6443434546252,137.18931577744775,146.10642878517558,high_arch
106,125.95056943712108,134.16261412202118,141.42976131318633,145.61412372765784,134.37188036129834,140.90614111377053,143.87316398654417,139.23753621746044,133.69804732742114,151.7615538369723,141.934647290368,146.33474658226226,high_arch
107,128.02199839135696,141.8900317557917,151.14433878028348,141.68597682322013,133.2543205191959,145.53990766291983,156.9855719784956,147.02429385492147,140.2892762971838,154.57710580953085,144.6037541795732,148.31763397294938,high_arch
